author_channel_id,community_id,community_size,grado_aa,author_name,n_comentarios,n_videos
UCIUhbSCy3-SGRe5UtqM4fzQ,5,25,24,@jeanmorales1677,1.0,1.0
UCIXLDYqR_syskKRJy_x9W9Q,2,61,12,@carlitosramirez4739,1.0,1.0
UCIgoiXdIKJyUGmUoH2Lxdzg,6,18,17,@susievidal4134,1.0,1.0
UCIp19h9igblA2YKfSLPDAug,5,25,24,@JoseReyes-rn6sh,1.0,1.0
UCJp3OrVYcBorC94sKwdch_A,4,28,9,@ULJoshmg2011,1.0,1.0
UCJxJC56BSAX-ArD0NAb9qnQ,10,2,1,@alfonsowilian9157,1.0,1.0
UCKDR0f2fu2UzWL8mBv5-BHw,1,126,127,@mireyamorales6595,1.0,1.0
UCKVzDUqbtdSMBcexaEtMmzQ,8,4,3,@rotorairgroup8409,1.0,1.0
UCL13XhnRzbGokEkCkEOb0-g,1,126,127,@raquelprado3643,2.0,1.0
UCL1MT278vSaQ83ZDkVWn1gw,1,126,127,@elmorodriguez6978,1.0,1.0
UCLFdHr9BEbXHkoJopbEPLZw,1,126,127,@kanterra4584,2.0,1.0
UCLXYp1Cvc5DLtq5UQL5D9vw,2,61,12,@jorgecifuentes-m5g,1.0,1.0
UCLggDc_a5HriXv7I1h02sOA,1,126,127,@guillermogonzalez5153,2.0,1.0
UCLh1Kde4_vI1sTZBkTNP7RQ,3,55,6,@JoelReynoso-d4r,1.0,1.0
UCN2N_wYOw6fMwCeSzdXLPIw,2,61,18,@danielantoniogonzalezflore4901,1.0,1.0
UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,126,127,@carlosmedranovelasquez6380,1.0,1.0
UCNBnKqWf4d-rS4HwJRQljmQ,1,126,127,@LE_A22,2.0,1.0
UCNIeXbV_mEwpa412h1aqUWw,2,61,18,@juandeleon9060,3.0,1.0
UCNiMNUJvaRJb0_QLClqwVnA,8,4,3,@Santiago.Nolasco,1.0,1.0
UCNkcuy42zEwddwEcOd_HpnA,1,126,127,@vanigomez492,1.0,1.0
UCNpt5CQlTzNjlAKY6CJtClQ,3,55,48,@eustaquiogomez9975,1.0,1.0
UCO0zwwLWGyDgQmWPJ5Qrr1w,2,61,12,@elsalvador3605,1.0,1.0
UCOARn3hnfkB7-_Rwa8Hoqcw,4,28,5,@nicelol5241,1.0,1.0
UCOLGv5Pf6BF2wFcwUzgcvHg,1,126,127,@welfrealdana5559,2.0,1.0
UCOLHH4ZpMxPYF-Q6e6wvn5A,6,18,17,@luisroldan7374,1.0,1.0
UCOS8ViEkccrTZx2w2ccxotA,1,126,127,@OscarHernandez-q8y,1.0,1.0
UCOY3XpD9qMCRSA8AA8c4CAw,4,28,15,@franciscorodas9686,1.0,1.0
UCOcUI5XkTYNMSFhZNMIPpGg,3,55,48,@hendersonlopez3864,1.0,1.0
UCOh6DaZC_x9HASnlRylEMfw,1,126,127,@AndresMedina-v1s,1.0,1.0
UCPLW0HE3siElqCgXfgWxMqg,12,1,0,@elizabethmonterroso7719,1.0,1.0
UCPNXmbOBVeC4HS-xemvcPtQ,6,18,17,@BelkisRodriguezRamirez,1.0,1.0
UCPZueDLrCS4BmTBRMA4q0fA,2,61,18,@kevinochoa3695,1.0,1.0
UCQIdKuZ-OzuFqy0KjGrgesg,9,3,2,@lyacausa,1.0,1.0
UCQM2tCKRRytVDRxNUfCDqQQ,13,1,0,@elioelias7267,1.0,1.0
UCQMMuADgqWUOcJpLwHOzC-g,6,18,17,@Ripped-Yoda,1.0,1.0
UCQ_-LPP8JAbfkc-b1Q6NvWw,1,126,127,@MegaKristenstewart,2.0,1.0
UCQgYjVngJRfPHDLGB5X6ZjA,1,126,127,@oscarnavas9996,1.0,1.0
UCQqetiwzzmRNTM5OWuXarGQ,1,126,127,@isaiaslopezvelasquez1539,1.0,1.0
UCQqlPPUGqAfWjd-FSh_qn7Q,3,55,48,@estuardoargueta137,1.0,1.0
UCQtICyzWmhC5woCtbNgaSmg,1,126,127,@nestormendez6216,2.0,1.0
UCQtSFINs1h6GHkpg9o5kMvg,1,126,127,@MacarioMartinezruiz,1.0,1.0
UCQyOePccUP-fIJYzchAgZYw,3,55,48,@aguilar4254,1.0,1.0
UCRAquv8el-tQ30bN7MlmySQ,3,55,48,@iamjimalesssa,1.0,1.0
UCRETAiYdh2dL5ZxB0_N1zDA,1,126,127,@Joseroland21,1.0,1.0
UCRcSR3Lvn9DZAmJpVPANfZQ,5,25,24,@WalksandSuch,1.0,1.0
UCRelkU8JiZBytTzebJxaa-w,1,126,127,@danyraymundo2942,1.0,1.0
UCRfkkatKrNtAARnXMMYBGlA,2,61,31,@BernerSoza-mg3vx,1.0,1.0
UCRlCV9zSn7avAWh-9_XFWqQ,1,126,127,@ronyarana8849,1.0,1.0
UCRvPToDkkumha7WJAfCDk1A,3,55,48,@ligiaguerra3057,1.0,1.0
UCRznz9-N3Qc1w-qNdLSIY2Q,5,25,24,@jimmygomez724,1.0,1.0
UCSTAUWVc1_82DHYeqOsqEFA,5,25,24,@TheAlexX_C,1.0,1.0
UCSou6a2OuYGSvPjm5psquyA,1,126,127,@FranciscoRivera-sf7ne,1.0,1.0
UCTD6q1nyIe3Y7HhqjaMj72w,1,126,127,@JuanChang-r6k,1.0,1.0
UCTP3O0rMnc8z8v8jaDQwL0w,1,126,127,@RobertoZelaya-x1v,1.0,1.0
UCTTILH6QCIxbTnEWxwRqs1g,4,28,15,@3762Jorge,1.0,1.0
UCThW2XNsAaBKme5PUt7n-Zg,1,126,127,@thelmamoran8565,1.0,1.0
UCTwSut16JyAg3mX6LVUNGqA,1,126,127,@SuperVictor2005,1.0,1.0
UCTylKrsqkrBKIqubMu_5N0Q,1,126,127,@edwingeovanymarroquinmarro6684,1.0,1.0
UCUIIIPTVDVHAXqhC_5V6lPA,1,126,127,@gorrarota,1.0,1.0
UCUoYsrx1oZnCZ0usbBJn4fA,3,55,48,@AnaDiaz-re9sq,1.0,1.0
