author_1,author_2,weight
UC14qlobYKqD-DO0j6b75lcA,UC63tFvbQ_hJhGDi2nbjssjw,1
UC14qlobYKqD-DO0j6b75lcA,UCEHXl4VvvVpq-_4xC5tsbhg,1
UC14qlobYKqD-DO0j6b75lcA,UCFybmWapGvBKcQod7cPPH9w,1
UC14qlobYKqD-DO0j6b75lcA,UCRfkkatKrNtAARnXMMYBGlA,1
UC14qlobYKqD-DO0j6b75lcA,UCV3fr-YOixFKCZBbJP1-X4w,1
UC14qlobYKqD-DO0j6b75lcA,UCWaRixDdpgllTBf4V0jPnKQ,1
UC14qlobYKqD-DO0j6b75lcA,UCWvntqPQx99k_Z_skWKqNSA,1
UC14qlobYKqD-DO0j6b75lcA,UCZFQwqh90apuL8eFhvRBkUg,1
UC14qlobYKqD-DO0j6b75lcA,UCa36MjQLoPAmgJo-R3G8WQA,1
UC14qlobYKqD-DO0j6b75lcA,UCaT4saRcyqCLE657Rq2hhZQ,1
UC14qlobYKqD-DO0j6b75lcA,UCeQk-WfEA-cJRq4EKeE7TOw,1
UC14qlobYKqD-DO0j6b75lcA,UCfo_yUPzy1f1POwwZxhZ06Q,1
UC14qlobYKqD-DO0j6b75lcA,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UC14qlobYKqD-DO0j6b75lcA,UCheEJ5GZuIvV0fj-nXyVwXw,1
UC14qlobYKqD-DO0j6b75lcA,UChyps3dqY-VY1_wLeq-2lhw,1
UC14qlobYKqD-DO0j6b75lcA,UCiOZX__1gahg1ypIj0_XG_w,1
UC14qlobYKqD-DO0j6b75lcA,UCjZgFEowMBrsjodqfovzdKw,1
UC14qlobYKqD-DO0j6b75lcA,UCoGdCoJg2Lh0OX_jv6cG16g,1
UC14qlobYKqD-DO0j6b75lcA,UCp29O_C7cchZV8IxV7Crdag,1
UC14qlobYKqD-DO0j6b75lcA,UCql1n3Ey6ULMSOACjMe-fxQ,1
UC14qlobYKqD-DO0j6b75lcA,UCtCtts20bW6F9CSohau51Iw,1
UC14qlobYKqD-DO0j6b75lcA,UCtsxPYw8VUsH_FfnKg-0lmw,1
UC14qlobYKqD-DO0j6b75lcA,UCvDwJBBY1mHK70aTEYl6rsA,1
UC14qlobYKqD-DO0j6b75lcA,UCwxoKK59nGCeBqB2sXfDBIw,1
UC14qlobYKqD-DO0j6b75lcA,UCyJhqmMbsvjpoarBBStA2kg,1
UC14qlobYKqD-DO0j6b75lcA,UCzZ6dDCEsLMXbc5pCFXIprw,1
UC1NiEdJ7gk6FlDexIalWnGg,UC3YpzAr7pcdKC7BVFEpYzog,1
UC1NiEdJ7gk6FlDexIalWnGg,UC63tFvbQ_hJhGDi2nbjssjw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCEHXl4VvvVpq-_4xC5tsbhg,1
UC1NiEdJ7gk6FlDexIalWnGg,UCFybmWapGvBKcQod7cPPH9w,1
UC1NiEdJ7gk6FlDexIalWnGg,UCRfkkatKrNtAARnXMMYBGlA,1
UC1NiEdJ7gk6FlDexIalWnGg,UCV3fr-YOixFKCZBbJP1-X4w,1
UC1NiEdJ7gk6FlDexIalWnGg,UCWaRixDdpgllTBf4V0jPnKQ,1
UC1NiEdJ7gk6FlDexIalWnGg,UCWvntqPQx99k_Z_skWKqNSA,1
UC1NiEdJ7gk6FlDexIalWnGg,UCZFQwqh90apuL8eFhvRBkUg,1
UC1NiEdJ7gk6FlDexIalWnGg,UCa36MjQLoPAmgJo-R3G8WQA,1
UC1NiEdJ7gk6FlDexIalWnGg,UCaT4saRcyqCLE657Rq2hhZQ,1
UC1NiEdJ7gk6FlDexIalWnGg,UCeQk-WfEA-cJRq4EKeE7TOw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCfo_yUPzy1f1POwwZxhZ06Q,1
UC1NiEdJ7gk6FlDexIalWnGg,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UC1NiEdJ7gk6FlDexIalWnGg,UCheEJ5GZuIvV0fj-nXyVwXw,1
UC1NiEdJ7gk6FlDexIalWnGg,UChyps3dqY-VY1_wLeq-2lhw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCiOZX__1gahg1ypIj0_XG_w,1
UC1NiEdJ7gk6FlDexIalWnGg,UCjZgFEowMBrsjodqfovzdKw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCoGdCoJg2Lh0OX_jv6cG16g,1
UC1NiEdJ7gk6FlDexIalWnGg,UCp29O_C7cchZV8IxV7Crdag,1
UC1NiEdJ7gk6FlDexIalWnGg,UCql1n3Ey6ULMSOACjMe-fxQ,1
UC1NiEdJ7gk6FlDexIalWnGg,UCtCtts20bW6F9CSohau51Iw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCtsxPYw8VUsH_FfnKg-0lmw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCvDwJBBY1mHK70aTEYl6rsA,1
UC1NiEdJ7gk6FlDexIalWnGg,UCwxoKK59nGCeBqB2sXfDBIw,1
UC1NiEdJ7gk6FlDexIalWnGg,UCyJhqmMbsvjpoarBBStA2kg,1
UC1NiEdJ7gk6FlDexIalWnGg,UCzZ6dDCEsLMXbc5pCFXIprw,1
UC3YpzAr7pcdKC7BVFEpYzog,UC63tFvbQ_hJhGDi2nbjssjw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCEHXl4VvvVpq-_4xC5tsbhg,1
UC3YpzAr7pcdKC7BVFEpYzog,UCFybmWapGvBKcQod7cPPH9w,1
UC3YpzAr7pcdKC7BVFEpYzog,UCRfkkatKrNtAARnXMMYBGlA,1
UC3YpzAr7pcdKC7BVFEpYzog,UCV3fr-YOixFKCZBbJP1-X4w,1
UC3YpzAr7pcdKC7BVFEpYzog,UCWaRixDdpgllTBf4V0jPnKQ,1
UC3YpzAr7pcdKC7BVFEpYzog,UCWvntqPQx99k_Z_skWKqNSA,1
UC3YpzAr7pcdKC7BVFEpYzog,UCZFQwqh90apuL8eFhvRBkUg,1
UC3YpzAr7pcdKC7BVFEpYzog,UCa36MjQLoPAmgJo-R3G8WQA,1
UC3YpzAr7pcdKC7BVFEpYzog,UCaT4saRcyqCLE657Rq2hhZQ,1
UC3YpzAr7pcdKC7BVFEpYzog,UCeQk-WfEA-cJRq4EKeE7TOw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCfo_yUPzy1f1POwwZxhZ06Q,1
UC3YpzAr7pcdKC7BVFEpYzog,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UC3YpzAr7pcdKC7BVFEpYzog,UCheEJ5GZuIvV0fj-nXyVwXw,1
UC3YpzAr7pcdKC7BVFEpYzog,UChyps3dqY-VY1_wLeq-2lhw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCiOZX__1gahg1ypIj0_XG_w,1
UC3YpzAr7pcdKC7BVFEpYzog,UCjZgFEowMBrsjodqfovzdKw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCoGdCoJg2Lh0OX_jv6cG16g,1
UC3YpzAr7pcdKC7BVFEpYzog,UCp29O_C7cchZV8IxV7Crdag,1
UC3YpzAr7pcdKC7BVFEpYzog,UCql1n3Ey6ULMSOACjMe-fxQ,1
UC3YpzAr7pcdKC7BVFEpYzog,UCtCtts20bW6F9CSohau51Iw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCtsxPYw8VUsH_FfnKg-0lmw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCvDwJBBY1mHK70aTEYl6rsA,1
UC3YpzAr7pcdKC7BVFEpYzog,UCwxoKK59nGCeBqB2sXfDBIw,1
UC3YpzAr7pcdKC7BVFEpYzog,UCyJhqmMbsvjpoarBBStA2kg,1
UC3YpzAr7pcdKC7BVFEpYzog,UCzZ6dDCEsLMXbc5pCFXIprw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCEHXl4VvvVpq-_4xC5tsbhg,1
UC63tFvbQ_hJhGDi2nbjssjw,UCFybmWapGvBKcQod7cPPH9w,1
UC63tFvbQ_hJhGDi2nbjssjw,UCRfkkatKrNtAARnXMMYBGlA,1
UC63tFvbQ_hJhGDi2nbjssjw,UCV3fr-YOixFKCZBbJP1-X4w,1
UC63tFvbQ_hJhGDi2nbjssjw,UCWaRixDdpgllTBf4V0jPnKQ,1
UC63tFvbQ_hJhGDi2nbjssjw,UCWvntqPQx99k_Z_skWKqNSA,1
UC63tFvbQ_hJhGDi2nbjssjw,UCZFQwqh90apuL8eFhvRBkUg,1
UC63tFvbQ_hJhGDi2nbjssjw,UCa36MjQLoPAmgJo-R3G8WQA,1
UC63tFvbQ_hJhGDi2nbjssjw,UCaT4saRcyqCLE657Rq2hhZQ,1
UC63tFvbQ_hJhGDi2nbjssjw,UCeQk-WfEA-cJRq4EKeE7TOw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCfo_yUPzy1f1POwwZxhZ06Q,1
UC63tFvbQ_hJhGDi2nbjssjw,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UC63tFvbQ_hJhGDi2nbjssjw,UCheEJ5GZuIvV0fj-nXyVwXw,1
UC63tFvbQ_hJhGDi2nbjssjw,UChyps3dqY-VY1_wLeq-2lhw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCiOZX__1gahg1ypIj0_XG_w,1
UC63tFvbQ_hJhGDi2nbjssjw,UCjZgFEowMBrsjodqfovzdKw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCoGdCoJg2Lh0OX_jv6cG16g,1
UC63tFvbQ_hJhGDi2nbjssjw,UCp29O_C7cchZV8IxV7Crdag,1
UC63tFvbQ_hJhGDi2nbjssjw,UCql1n3Ey6ULMSOACjMe-fxQ,1
UC63tFvbQ_hJhGDi2nbjssjw,UCtCtts20bW6F9CSohau51Iw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCtsxPYw8VUsH_FfnKg-0lmw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCvDwJBBY1mHK70aTEYl6rsA,1
UC63tFvbQ_hJhGDi2nbjssjw,UCwxoKK59nGCeBqB2sXfDBIw,1
UC63tFvbQ_hJhGDi2nbjssjw,UCyJhqmMbsvjpoarBBStA2kg,1
UC63tFvbQ_hJhGDi2nbjssjw,UCzZ6dDCEsLMXbc5pCFXIprw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCFybmWapGvBKcQod7cPPH9w,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCRfkkatKrNtAARnXMMYBGlA,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCV3fr-YOixFKCZBbJP1-X4w,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCWaRixDdpgllTBf4V0jPnKQ,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCWvntqPQx99k_Z_skWKqNSA,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCZFQwqh90apuL8eFhvRBkUg,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCa36MjQLoPAmgJo-R3G8WQA,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCaT4saRcyqCLE657Rq2hhZQ,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCeQk-WfEA-cJRq4EKeE7TOw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCfo_yUPzy1f1POwwZxhZ06Q,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCheEJ5GZuIvV0fj-nXyVwXw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UChyps3dqY-VY1_wLeq-2lhw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCiOZX__1gahg1ypIj0_XG_w,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCjZgFEowMBrsjodqfovzdKw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCoGdCoJg2Lh0OX_jv6cG16g,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCp29O_C7cchZV8IxV7Crdag,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCql1n3Ey6ULMSOACjMe-fxQ,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCtCtts20bW6F9CSohau51Iw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCtsxPYw8VUsH_FfnKg-0lmw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCvDwJBBY1mHK70aTEYl6rsA,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCwxoKK59nGCeBqB2sXfDBIw,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCyJhqmMbsvjpoarBBStA2kg,1
UCEHXl4VvvVpq-_4xC5tsbhg,UCzZ6dDCEsLMXbc5pCFXIprw,1
UCFybmWapGvBKcQod7cPPH9w,UCRfkkatKrNtAARnXMMYBGlA,1
UCFybmWapGvBKcQod7cPPH9w,UCV3fr-YOixFKCZBbJP1-X4w,1
UCFybmWapGvBKcQod7cPPH9w,UCWaRixDdpgllTBf4V0jPnKQ,1
UCFybmWapGvBKcQod7cPPH9w,UCWvntqPQx99k_Z_skWKqNSA,1
UCFybmWapGvBKcQod7cPPH9w,UCZFQwqh90apuL8eFhvRBkUg,1
UCFybmWapGvBKcQod7cPPH9w,UCa36MjQLoPAmgJo-R3G8WQA,1
UCFybmWapGvBKcQod7cPPH9w,UCaT4saRcyqCLE657Rq2hhZQ,1
UCFybmWapGvBKcQod7cPPH9w,UCeQk-WfEA-cJRq4EKeE7TOw,1
UCFybmWapGvBKcQod7cPPH9w,UCfo_yUPzy1f1POwwZxhZ06Q,1
UCFybmWapGvBKcQod7cPPH9w,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UCFybmWapGvBKcQod7cPPH9w,UCheEJ5GZuIvV0fj-nXyVwXw,1
UCFybmWapGvBKcQod7cPPH9w,UChyps3dqY-VY1_wLeq-2lhw,1
UCFybmWapGvBKcQod7cPPH9w,UCiOZX__1gahg1ypIj0_XG_w,1
UCFybmWapGvBKcQod7cPPH9w,UCjZgFEowMBrsjodqfovzdKw,1
UCFybmWapGvBKcQod7cPPH9w,UCoGdCoJg2Lh0OX_jv6cG16g,1
UCFybmWapGvBKcQod7cPPH9w,UCp29O_C7cchZV8IxV7Crdag,1
UCFybmWapGvBKcQod7cPPH9w,UCql1n3Ey6ULMSOACjMe-fxQ,1
UCFybmWapGvBKcQod7cPPH9w,UCtCtts20bW6F9CSohau51Iw,1
UCFybmWapGvBKcQod7cPPH9w,UCtsxPYw8VUsH_FfnKg-0lmw,1
UCFybmWapGvBKcQod7cPPH9w,UCvDwJBBY1mHK70aTEYl6rsA,1
UCFybmWapGvBKcQod7cPPH9w,UCwxoKK59nGCeBqB2sXfDBIw,1
UCFybmWapGvBKcQod7cPPH9w,UCyJhqmMbsvjpoarBBStA2kg,1
UCFybmWapGvBKcQod7cPPH9w,UCzZ6dDCEsLMXbc5pCFXIprw,1
UCRfkkatKrNtAARnXMMYBGlA,UCV3fr-YOixFKCZBbJP1-X4w,1
UCRfkkatKrNtAARnXMMYBGlA,UCWaRixDdpgllTBf4V0jPnKQ,1
UCRfkkatKrNtAARnXMMYBGlA,UCWvntqPQx99k_Z_skWKqNSA,1
UCRfkkatKrNtAARnXMMYBGlA,UCZFQwqh90apuL8eFhvRBkUg,1
UCRfkkatKrNtAARnXMMYBGlA,UCa36MjQLoPAmgJo-R3G8WQA,1
UCRfkkatKrNtAARnXMMYBGlA,UCaT4saRcyqCLE657Rq2hhZQ,1
UCRfkkatKrNtAARnXMMYBGlA,UCeQk-WfEA-cJRq4EKeE7TOw,1
UCRfkkatKrNtAARnXMMYBGlA,UCfo_yUPzy1f1POwwZxhZ06Q,1
UCRfkkatKrNtAARnXMMYBGlA,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UCRfkkatKrNtAARnXMMYBGlA,UCheEJ5GZuIvV0fj-nXyVwXw,1
UCRfkkatKrNtAARnXMMYBGlA,UChyps3dqY-VY1_wLeq-2lhw,1
UCRfkkatKrNtAARnXMMYBGlA,UCiOZX__1gahg1ypIj0_XG_w,1
UCRfkkatKrNtAARnXMMYBGlA,UCjZgFEowMBrsjodqfovzdKw,1
UCRfkkatKrNtAARnXMMYBGlA,UCoGdCoJg2Lh0OX_jv6cG16g,1
UCRfkkatKrNtAARnXMMYBGlA,UCp29O_C7cchZV8IxV7Crdag,1
UCRfkkatKrNtAARnXMMYBGlA,UCql1n3Ey6ULMSOACjMe-fxQ,1
UCRfkkatKrNtAARnXMMYBGlA,UCtCtts20bW6F9CSohau51Iw,1
UCRfkkatKrNtAARnXMMYBGlA,UCtsxPYw8VUsH_FfnKg-0lmw,1
UCRfkkatKrNtAARnXMMYBGlA,UCvDwJBBY1mHK70aTEYl6rsA,1
UCRfkkatKrNtAARnXMMYBGlA,UCwxoKK59nGCeBqB2sXfDBIw,1
UCRfkkatKrNtAARnXMMYBGlA,UCyJhqmMbsvjpoarBBStA2kg,1
UCRfkkatKrNtAARnXMMYBGlA,UCzZ6dDCEsLMXbc5pCFXIprw,1
UCV3fr-YOixFKCZBbJP1-X4w,UCWaRixDdpgllTBf4V0jPnKQ,1
UCV3fr-YOixFKCZBbJP1-X4w,UCWvntqPQx99k_Z_skWKqNSA,1
UCV3fr-YOixFKCZBbJP1-X4w,UCZFQwqh90apuL8eFhvRBkUg,1
