nodo,grado,grado_ponderado,betweenness,closeness,pagerank,red,eigenvector_comp_mayor,tipo
UCB5p8a5gklc80jJItP6xTHg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCBlm80VQ4YoV3bUJR_XhkaQ,1,2,0.0,0.026448979591836733,0.0021339647774481214,Bipartita,,autor
UCBtB5dIyx-C16UN8ClUD2UA,1,1,0.0,0.12383747522488185,0.0016244245455000741,Bipartita,2.639970469224111e-06,autor
UCCBYcToQ2dwkd6TJh0FSyDg,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCCUmP4PlbwgikVFpYwbtRTg,1,1,0.0,0.12357371063441351,0.0015133016567510666,Bipartita,2.364779232601078e-06,autor
UCCaYwkkbQGcvFoUmothVdQQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDIMztpVm7G27qBuiWuT6oQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDPWkUX3sNNaCx-m1dV4glA,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDQaQv0hr2SS_PO-CMEwVHg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDUffaruH6dyUnUGwsTKpgg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDftMWXQoJ6nONfY7GVOVjg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDlr1VadSucIZgZ171pRBjQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCDrmf9y9nLgFY5wnA2hTuGA,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCEHXl4VvvVpq-_4xC5tsbhg,1,1,0.0,0.1326122448979592,0.0012314659094801786,Bipartita,2.719753877234905e-06,autor
UCEgEQmRbtL5fwr9_DqAC--g,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCErZPJpHmLCsXs8ZWkAUupQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCFFrEmn6lPYiWyElpfzTy5Q,1,1,0.0,0.12383747522488185,0.0016244245455000741,Bipartita,2.639970469224111e-06,autor
UCFOxCyF926Y9eHhMeVoWLzw,1,1,0.0,0.03644314868804665,0.0015921333404745244,Bipartita,,autor
UCFUuDARXdmmIrLppEqf-rFg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCFhxtoeARHPnXXPcDrOU3Xg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCFjudnPLoaSL1BaRuLahyHg,1,3,0.0,0.22186561048893746,0.0030759504354549907,Bipartita,0.13280104879559815,autor
UCFoIAE8k82D6AV-8gjjKaNg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCFxE8GbokBrBsPEKM1xrOjQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCFybmWapGvBKcQod7cPPH9w,1,1,0.0,0.1326122448979592,0.0012314659094801786,Bipartita,2.719753877234905e-06,autor
UCGGHbtfbbe0o68etrOf0qxw,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCGX_UbAQOXGZknv5iqklwTA,1,1,0.0,0.170640756302521,0.0012735810348890395,Bipartita,0.00041358525581382504,autor
UCGZMgmM92E3njyXNe9-kjAQ,1,1,0.0,0.026448979591836733,0.0012806576023992745,Bipartita,,autor
UCGj2v6Gl5bN8NSrzJMXS-CA,1,1,0.0,0.12227156405238597,0.0015691590271952158,Bipartita,1.5186531327348356e-06,autor
UCGm3gRBEHGRJYmtCryZLtDw,1,1,0.0,0.14614069809283917,0.001594478004275582,Bipartita,0.00017844469757576138,autor
UCGqKxQS-z3NZzZF-2w338AA,1,1,0.0,0.03644314868804665,0.0015921333404745244,Bipartita,,autor
UCGzXwyCzMzGmjmCbH3Hg01Q,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCHGd14aYuZZShLD73dkk6mg,1,1,0.0,0.005142857142857143,0.0019761768014137345,Bipartita,,autor
UCHMQ_lDhibZ-XZ_3fo6oxwg,1,1,0.0,0.03644314868804665,0.0015921333404745244,Bipartita,,autor
UCHTGCgY2l-DQJIvlA_cpa_Q,2,3,0.23158411788784283,0.25280112044817926,0.003039314373625415,Bipartita,0.08894761778621262,autor
UCHbwIx9pmQuf7i-4_xO2EpA,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCHhHUjaMAZ8SiXdCUCj9DkQ,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCHu8x4MVkayU6VgwVKd--MQ,1,1,0.0,0.14614069809283917,0.001594478004275582,Bipartita,0.00017844469757576138,autor
UCIUhbSCy3-SGRe5UtqM4fzQ,1,1,0.0,0.03644314868804665,0.0015921333404745244,Bipartita,,autor
UCIXLDYqR_syskKRJy_x9W9Q,1,1,0.0,0.10232426303854876,0.0014900677837631294,Bipartita,1.1376327283817565e-08,autor
UCIgoiXdIKJyUGmUoH2Lxdzg,1,1,0.0,0.026448979591836733,0.0012806576023992745,Bipartita,,autor
UCIp19h9igblA2YKfSLPDAug,1,1,0.0,0.03644314868804665,0.0015921333404745244,Bipartita,,autor
UCJp3OrVYcBorC94sKwdch_A,1,1,0.0,0.16792433326442008,0.0013678165077211386,Bipartita,0.00018794410011705324,autor
UCJxJC56BSAX-ArD0NAb9qnQ,1,1,0.0,0.0038095238095238095,0.002194383313311013,Bipartita,,autor
UCKDR0f2fu2UzWL8mBv5-BHw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCKVzDUqbtdSMBcexaEtMmzQ,1,1,0.0,0.0065306122448979586,0.0018670735454650957,Bipartita,,autor
UCL13XhnRzbGokEkCkEOb0-g,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCL1MT278vSaQ83ZDkVWn1gw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
