author_channel_id,author_name,n_comentarios,n_videos,grado
UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,1.0,1.0,24
UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,1.0,1.0,127
UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,1.0,1.0,2
UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,1.0,1.0,24
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,3.0,2.0,145
UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,1.0,1.0,48
UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,2.0,1.0,127
UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,1.0,1.0,6
UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,1.0,1.0,24
UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,1.0,1.0,12
UCIgoiXdIKJyUGmUoH2Lxdzg,@susievidal4134,1.0,1.0,17
UCIp19h9igblA2YKfSLPDAug,@JoseReyes-rn6sh,1.0,1.0,24
UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,1.0,1.0,9
UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,1.0,1.0,1
UCKDR0f2fu2UzWL8mBv5-BHw,@mireyamorales6595,1.0,1.0,127
UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,1.0,1.0,3
UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,2.0,1.0,127
UCL1MT278vSaQ83ZDkVWn1gw,@elmorodriguez6978,1.0,1.0,127
UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,2.0,1.0,127
UCLXYp1Cvc5DLtq5UQL5D9vw,@jorgecifuentes-m5g,1.0,1.0,12
UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,2.0,1.0,127
UCLh1Kde4_vI1sTZBkTNP7RQ,@JoelReynoso-d4r,1.0,1.0,6
UCN2N_wYOw6fMwCeSzdXLPIw,@danielantoniogonzalezflore4901,1.0,1.0,18
UCN6qbfPSzFtjhqUDZ3Cv3CQ,@carlosmedranovelasquez6380,1.0,1.0,127
UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,2.0,1.0,127
UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,3.0,1.0,18
UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,1.0,1.0,3
UCNkcuy42zEwddwEcOd_HpnA,@vanigomez492,1.0,1.0,127
UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,1.0,1.0,48
UCO0zwwLWGyDgQmWPJ5Qrr1w,@elsalvador3605,1.0,1.0,12
UCOARn3hnfkB7-_Rwa8Hoqcw,@nicelol5241,1.0,1.0,5
UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,2.0,1.0,127
UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,1.0,1.0,17
UCOS8ViEkccrTZx2w2ccxotA,@OscarHernandez-q8y,1.0,1.0,127
UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,1.0,1.0,15
UCOcUI5XkTYNMSFhZNMIPpGg,@hendersonlopez3864,1.0,1.0,48
UCOh6DaZC_x9HASnlRylEMfw,@AndresMedina-v1s,1.0,1.0,127
UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,1.0,1.0,0
UCPNXmbOBVeC4HS-xemvcPtQ,@BelkisRodriguezRamirez,1.0,1.0,17
UCPZueDLrCS4BmTBRMA4q0fA,@kevinochoa3695,1.0,1.0,18
UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,1.0,1.0,2
UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,1.0,1.0,0
UCQMMuADgqWUOcJpLwHOzC-g,@Ripped-Yoda,1.0,1.0,17
UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,2.0,1.0,127
UCQgYjVngJRfPHDLGB5X6ZjA,@oscarnavas9996,1.0,1.0,127
UCQqetiwzzmRNTM5OWuXarGQ,@isaiaslopezvelasquez1539,1.0,1.0,127
UCQqlPPUGqAfWjd-FSh_qn7Q,@estuardoargueta137,1.0,1.0,48
UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,2.0,1.0,127
UCQtSFINs1h6GHkpg9o5kMvg,@MacarioMartinezruiz,1.0,1.0,127
UCQyOePccUP-fIJYzchAgZYw,@aguilar4254,1.0,1.0,48
UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,1.0,1.0,48
UCRETAiYdh2dL5ZxB0_N1zDA,@Joseroland21,1.0,1.0,127
